SMILES Labelled
"CC1=CC(C)=C([N+]2=C([C:22](/[CH:21]=[CH:20]/[C:31]3=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]3)=[O:23])N(C)C=C2)C(C)=C1.[CH2:10]=[CH:11][C:62]1=[CH:63][CH:64]=[CH:65][CH:75]=[CH:73]1>>CC1=CC(C)=C([N+]2=C([C:22](=[CH:21][CH:20]([CH2:10][CH+:11][C:62]3=[CH:63][CH:64]=[CH:65][CH:75]=[CH:73]3)[C:31]3=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]3)[O-:23])N(C)C=C2)C(C)=C1 10,11=10,20;20,21=21,22;22,23=23"
"C[Si:63](C)(C)[CH2:62][Si:11]([H:10])([CH2:72][Si:73](C)(C)C)[CH2:82][Si:83](C)(C)C.FC(F)(F)[S:20][N:21]([S:32](C1=CC=CC=C1)(=[O:33])=[O:34])[S:42](C1=CC=CC=C1)(=[O:43])=[O:44]>>C1=CC=C([S:32]([N-:21][S:42](C2=CC=CC=C2)(=[O:43])=[O:44])(=[O:33])=[O:34])C=C1.C[Si:63](C)(C)[CH2:62][Si+:11]([CH2:72][Si:73](C)(C)C)[CH2:82][Si:83](C)(C)C.FC(F)(F)[S:20][H:10] 10,11=10,20;20,21=21"
C1C[S:31][CH+:20][S:41]C1.C[C:72]1=[CH:71][N-:10][CH:61]=[N:62]1>>C[C:72]1=[CH:71][N:10]([CH:20]2[S:31]CCC[S:41]2)[CH:61]=[N:62]1 10=20
"C/[CH:63]=[CH:62]/[CH:11]=[CH2:10].[CH:20](=[C:21]([C:22]#[N:23])[C:32]#[N:33])[C:41]1=[CH:42][CH:43]=[CH:44][CH:46]=[CH:45]1>>C/[CH:63]=[CH:62]/[CH+:11][CH2:10][CH:20]([C:21](=[C:22]=[N-:23])[C:32]#[N:33])[C:41]1=[CH:42][CH:43]=[CH:44][CH:46]=[CH:45]1 10,11=10,20;20,21=21,22;22,23=23"
"COC1=C[C:71]2=[C:72](C=C1)[NH:62][CH:61]=[N:10]2.C[CH:20]1C[Fe-2:21]12345(C#[O+])(C#[O+])C1C2C3C4C15>>COC1=C[C:71]2=[C:72](C=C1)[NH:62][CH:61]=[N+:10]2[CH:20](C)C[Fe-3:21]1234(C#[O+])(C#[O+])C5C1C2C3C54 10=20;20,21=21"
"C1=CC=C([C:11](=[CH2:10])[NH:12][C:63](C2=CC=CC=C2)=[O:64])C=C1.CC[O:34][C:32]([C:21](=[CH:20][C:41]1=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]1)[C:22](=[O:23])[O:39]CC)=[O:33]>>CC[O:34][C:32]([C:21]([CH:20]([CH2:10][C:11](C1=CC=CC=C1)=[NH+:12][C:63](C1=CC=CC=C1)=[O:64])[C:41]1=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]1)=[C:22]([O-:23])[O:39]CC)=[O:33] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[C:21]2[C:22](=[O:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1.C[C:62]1=[CH:63][CH:72]=[CH:71][N:10]=[CH:61]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([N+:10]2=[CH:61][C:62](C)=[CH:63][CH:72]=[CH:71]2)[C:21]2=[C:22]([O-:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1 10=20;20,21=21,22;22,23=23"
C1=CN(C[C@@H]2CCC[NH:10]2)C=N1.[C+:20]1([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:41]2=[C:42]([CH:43]=[CH:44][CH:45]=[CH:46]2)[C:52]2=[C:51]1[CH:56]=[CH:55][CH:54]=[CH:53]2>>C1=CN(C[C@@H]2CCC[NH+:10]2[C:20]2([C:31]3=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]3)[C:41]3=[C:42]([CH:43]=[CH:44][CH:45]=[CH:46]3)[C:52]3=[C:51]2[CH:56]=[CH:55][CH:54]=[CH:53]3)C=N1 10=20
"C1=CC=C([Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)[CH2:62][CH:11]=[CH2:10])C=C1.Cl[C:21]1([Cl:20])[C:22](=[O:23])[C:35]2=[C:34](C=CC=N2)[C:33](Cl)=[CH:32]1>>C1=CC=C([Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)[CH2:62][CH+:11][CH2:10][Cl:20])C=C1.Cl[C:21]1=[C:22]([O-:23])[C:35]2=[C:34](C=CC=N2)[C:33](Cl)=[CH:32]1 10,11=10,20;20,21=21,22;22,23=23"
"CC[O:92][C:61]([CH-:10][S:71](C1=CC=CC=C1)(=[O:72])=[O:82])=[O:62].O=[N+]([O-])C1=CC=C([N:31]=[C:20]=[S:21])C=C1>>CC[O:92][C:61]([CH:10]([C:20]([S-:21])=[N:31]C1=CC=C([N+](=O)[O-])C=C1)[S:71](C1=CC=CC=C1)(=[O:72])=[O:82])=[O:62] 10=20;20,21=21"
"CC1=C[C:61]2=[C:62](C=C1)[NH:12][C:11](C)=[N:10]2.Cl[C:44]1=[CH:43][CH:42]=[C:41]([C+:20]2CC[CH:32]=[CH:31]2)[CH:52]=[CH:53]1>>CC1=C[C:61]2=[C:62](C=C1)[NH+:12]=[C:11](C)[N:10]2[C:20]1([C:41]2=[CH:42][CH:43]=[C:44](Cl)[CH:53]=[CH:52]2)CC[CH:32]=[CH:31]1 10,11=10,20;12=11,12"
"CC(C)(C)[O:33][C:22](/[N:21]=[CH:20]/C1=CC=CC=C1)=[O:23].C[C:11](=[CH2:10])[CH2:62][Ge:63](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)(C)[O:33][C:22](=[N:21][CH:20](C1=CC=CC=C1)[CH2:10][C+:11](C)[CH2:62][Ge:63](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[O-:23] 10,11=10,20;20,21=21,22;22,23=23"
"CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](Br)[C:24](=[O:25])[C:33](Br)=[CH:32]2)[CH:46]=[CH:45]1.C[C:72]1=[CH:71][N-:10][CH:61]=[N:62]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([N:10]2[CH:61]=[N:62][C:72](C)=[CH:71]2)[C:21]2=[CH:22][C:23](Br)=[C:24]([O-:25])[C:33](Br)=[CH:32]2)[CH:46]=[CH:45]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"CCCCCC[Si:11](CCCCCC)(CCCCCC)[H:10].CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1>>CCCCCC[Si+:11](CCCCCC)CCCCCC.CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:21]2=[C:22]([O-:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1 10,11=10,20;20,21=21,22;22,23=23"
"C1C[C:20](=[O:21])CCO1.CN1CCCC1[C:62]1=[CH:63][CH:72]=[CH:71][N:10]=[CH:61]1>>CN1CCCC1[C:62]1=[CH:63][CH:72]=[CH:71][N+:10]([C:20]2([O-:21])CCOCC2)=[CH:61]1 10=20;20,21=21"
"CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[C:34](C#N)[CH:35]=[CH:36]2)C1(C)C.C[O:86][C:85]1=[CH:84][CH:83]=[C:82]([Si:11]([H:10])([CH3:62])[CH3:72])[CH:94]=[CH:93]1>>CN1C(=O)C(CC2=CC=CC=C2)[N:23]([CH:22]=[CH:21][CH:20]([H:10])[C:31]2=[CH:32][CH:33]=[C:34](C#N)[CH:35]=[CH:36]2)C1(C)C.C[O:86][C:85]1=[CH:84][CH:83]=[C:82]([Si+:11]([CH3:62])[CH3:72])[CH:94]=[CH:93]1 10,11=10,20;20,21=21,22;22,23=23"
"C[Si](C)(C)[C:11](=[CH2:10])[C:62]1=[CH:63][CH:64]=[CH:65][CH:73]=[CH:72]1.F[C:33]1=[CH:34][C:35](F)=[CH:36][C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][C:55](F)=[CH:56][C:57](F)=[CH:58]2)=[CH:32]1>>C[Si](C)(C)[C+:11]([CH2:10][CH:20]([C:31]1=[CH:32][C:33](F)=[CH:34][C:35](F)=[CH:36]1)[CH:41]=[CH:42][C:53]1=[CH:54][C:55](F)=[CH:56][C:57](F)=[CH:58]1)[C:62]1=[CH:63][CH:64]=[CH:65][CH:73]=[CH:72]1 10,11=10,20"
"CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=S)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.C[Si:63]1(C)CCC[CH:11]([H:10])[CH2:62]1>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:21]2=[C:22]([O-:23])[N:51](C)C(=S)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.C[Si:63]1(C)CCC[CH+:11][CH2:62]1 10,11=10,20;20,21=21,22;22,23=23"
"CO[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[CH:21]/[N+:22](=[O:23])[O-:33])[CH:46]=[CH:45]1.C[C:63]1=[C:62]([N:61]2[C-:10]=[N+:71](C)[CH:73]=[CH:72]2)[C:67](C)=[CH:66][C:65](C)=[CH:64]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([C:10]2=[N+:71](C)[CH:73]=[CH:72][N:61]2[C:62]2=[C:63](C)[CH:64]=[C:65](C)[CH:66]=[C:67]2C)[CH:21]=[N+:22]([O-:23])[O-:33])[CH:46]=[CH:45]1 10=20;20,21=21,22;22,23=23"
"C/[CH:10]=[CH:11]\[CH2:62][Si:63](C)(C)C.CC(C)(C)[C:23]1=[CH:22][C:21](=[CH:20][C:41]2=[CH:42][C:43]3=[C:44]4N(CCC3)CCC[C:45]4=[CH:46]2)[CH:32]=[C:33](C(C)(C)C)[C:24]1=[O:25]>>CC(C)(C)[C:23]1=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32][C:21]([CH:20]([CH:10](C)[CH+:11][CH2:62][Si:63](C)(C)C)[C:41]2=[CH:42][C:43]3=[C:44]4N(CCC3)CCC[C:45]4=[CH:46]2)=[CH:22]1 10,11=10,20;20,21=21,22;22,23=23,24;24,25=25"
"C1CC[C:20](=[O:21])CC1.C1CC[N:12]([C:11]2=[CH:10]CCC2)CC1>>C1CC[N+:12](=[C:11]2CCC[CH:10]2[C:20]2([O-:21])CCCCC2)CC1 10,11=10,20;12=11,12;20,21=21"
"CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[C:21]2[C:22](=[O:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1.C[C:10](=[C:11]=[N-:12])[C:71]1=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([C:10](C)([C:11]#[N:12])[C:71]2=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]2)[C:21]2=[C:22]([O-:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[C:21]1=[CH:20]CCC[C:22]1=[O:23].C[C:61]([CH:10]=[P:11](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)=[O:62]>>C[C:21]1=[C:22]([O-:23])CCC[CH:20]1[CH:10]([P+:11](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[C:61](C)=[O:62] 10,11=10,20;20,21=21,22;22,23=23"
"Br[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56](Br)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1.C[Si](C)(C)[C:11](=[CH2:10])[C:62]1=[CH:63][CH:64]=[CH:65][CH:73]=[CH:72]1>>C[Si](C)(C)[C+:11]([CH2:10][CH:20]([C:31]1=[CH:32][CH:33]=[C:34](Br)[CH:35]=[CH:36]1)[CH:41]=[CH:42][C:53]1=[CH:54][CH:55]=[C:56](Br)[CH:57]=[CH:58]1)[C:62]1=[CH:63][CH:64]=[CH:65][CH:73]=[CH:72]1 10,11=10,20"
"C[C:13]1=[CH:12][CH:11]=[CH:10][O:14]1.C[O:37][C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56]([O:59]C)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1>>C[C:13]1=[O+:14][CH:10]([CH:20]([C:31]2=[CH:32][CH:33]=[C:34]([O:37]C)[CH:35]=[CH:36]2)[CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56]([O:59]C)[CH:57]=[CH:58]2)[CH:11]=[CH:12]1 10,11=10,20;12,13=11,12;14=13,14"
"CC1(C)[O:33][C:31](=[O:32])[C:21](=[CH:20][C:41]2=[CH:42][C:43]3=[C:44]4N(CCC3)CCC[C:45]4=[CH:46]2)[C:22](=[O:23])[O:39]1.CC1=CC=[C:10]([B-:11]2(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)[O:12]CC(C)(C)C[O:62]2)S1>>CC1(C)C[O+:12]=[B-:11](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)[O:62]C1.CC1=CC=[C:10]([CH:20]([C:21]2=[C:22]([O-:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[C:41]2=[CH:42][C:43]3=[C:44]4N(CCC3)CCC[C:45]4=[CH:46]2)S1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1CC[N:12]([C:11]2=[CH:10]CC[C:63]3=[C:62]2[CH:73]=[CH:74][CH:65]=[CH:64]3)C1.CC(C)(C)[O:33][C:22]([CH:21]=[CH2:20])=[O:23]>>CC(C)(C)[O:33][C:22](=[CH:21][CH2:20][CH:10]1CC[C:63]2=[C:62]([C:11]1=[N+:12]1CCCC1)[CH:73]=[CH:74][CH:65]=[CH:64]2)[O-:23] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC1(C)C(C)(C)[O:62][B-:11](C2=CC=C(C(F)(F)F)C=C2)([CH:10](C)C2=CC=CC=C2)[O:12]1.Cl[B-:33](Cl)(Cl)[O+:21]=[CH:20][C:41]1=[CH:42][CH:43]=[C:44](Cl)[CH:45]=[CH:46]1>>CC1(C)C(C)(C)[O:62][B-:11](C2=CC=C(C(F)(F)F)C=C2)=[O+:12]1.C[CH:10](C1=CC=CC=C1)[CH:20]([O:21][B-:33](Cl)(Cl)Cl)[C:41]1=[CH:42][CH:43]=[C:44](Cl)[CH:45]=[CH:46]1 10,11=10,20;12=11,12;20,21=21"
"C1C[O:12][CH:11]=[CH:10]1.[CH+:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)[CH:41]=[CH:42][C:53]1=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]1>>C1C[O+:12]=[CH:11][CH:10]1[CH:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)[CH:41]=[CH:42][C:53]1=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]1 10,11=10,20;12=11,12"
"C1CC[C:11](=[CH2:10])CC1.C[C:22]([CH:21]=[CH2:20])=[O:23]>>C[C:22](=[CH:21][CH2:20][CH2:10][C+:11]1CCCCC1)[O-:23] 10,11=10,20;20,21=21,22;22,23=23"
"CC(C)(C)[P:10](C1=CC=CC=C1)C(C)(C)C.CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[C:21]2[C:22](=[O:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1>>CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([P+:10](C2=CC=CC=C2)(C(C)(C)C)C(C)(C)C)[C:21]2=[C:22]([O-:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1 10=20;20,21=21,22;22,23=23"
"CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](C(C)(C)C)[C:24](=[O:25])[C:33](C(C)(C)C)=[CH:32]2)[CH:46]=[CH:45]1.C[Si:72](C)(C)[O:12][C:11](=[CH2:10])[C:62]1=[C:63](F)[C:64](F)=[C:65](F)[C:84](F)=[C:83]1F>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH2:10][C:11](=[O+:12][Si:72](C)(C)C)[C:62]2=[C:63](F)[C:64](F)=[C:65](F)[C:84](F)=[C:83]2F)[C:21]2=[CH:22][C:23](C(C)(C)C)=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32]2)[CH:46]=[CH:45]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"C1CN2CC[C:33]3=[CH:32][C:31]([CH+:20][C:41]4=[CH:42][C:43]5=[C:44]6N(CCC[C:45]6=[CH:46]4)CC5)=[CH:36][C:35](=[C:34]23)C1.CC(C)(C)[C:11](=[CH2:10])[NH:12][C:63](C)=[O:64]>>CC(C)(C)[C:11]([CH2:10][CH:20]([C:31]1=[CH:36][C:35]2=[C:34]3N(CCC2)CC[C:33]3=[CH:32]1)[C:41]1=[CH:42][C:43]2=[C:44]3N(CCC[C:45]3=[CH:46]1)CC2)=[NH+:12][C:63](C)=[O:64] 10,11=10,20;12=11,12"
"C1C[CH:32]=[CH:31][C+:20]1[C:41]1=[CH:42][CH:43]=[CH:44][CH:53]=[CH:52]1.CC1(C)[O:82][C:71](=[O:72])[C:10](=[I:11]C2=CC=CC=C2)[C:91](=[O:92])[O:102]1>>CC1(C)[O:82][C:71](=[O:72])[C:10]([I+:11]C2=CC=CC=C2)([C:20]2([C:41]3=[CH:42][CH:43]=[CH:44][CH:53]=[CH:52]3)CC[CH:32]=[CH:31]2)[C:91](=[O:92])[O:102]1 10,11=10,20"
"C[C:22]([CH:21]=[CH2:20])=[O:23].FC(F)(F)[S:61]([CH-:10][C:81]1=[CH:82][CH:83]=[CH:84][CH:93]=[CH:92]1)(=[O:62])=[O:72]>>C[C:22](=[CH:21][CH2:20][CH:10]([S:61](C(F)(F)F)(=[O:62])=[O:72])[C:81]1=[CH:82][CH:83]=[CH:84][CH:93]=[CH:92]1)[O-:23] 10=20;20,21=21,22;22,23=23"
CC1=CC=CC(C)=C1[N+:61]#[C-:10].C[N:37](C)[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][CH:41]=[C:42]([C:43]2=[CH:44][CH:45]=[C:46]([N:49](C)C)[CH:47]=[CH:48]2)[C:53]2=[CH:54][CH:55]=[C:56]([N:59](C)C)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1>>CC1=CC=CC(C)=C1[N+:61]#[C:10][CH:20]([C:31]1=[CH:32][CH:33]=[C:34]([N:37](C)C)[CH:35]=[CH:36]1)[CH:41]=[C:42]([C:43]1=[CH:44][CH:45]=[C:46]([N:49](C)C)[CH:47]=[CH:48]1)[C:53]1=[CH:54][CH:55]=[C:56]([N:59](C)C)[CH:57]=[CH:58]1 10=20
"CC(C)(C)[C:65]1=[CH:64][CH:63]=[N+:62]([BH2-:11][H:10])[CH:73]=[CH:74]1.COC1=CC=CC(OC)=C1[N+]1=C([C:22](/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)=[O:23])N(C)C=C1>>CC(C)(C)[C:65]1=[CH:64][CH:63]=[N+:62]([BH2:11])[CH:73]=[CH:74]1.COC1=CC=CC(OC)=C1[N+]1=C([C:22](=[CH:21][CH:20]([H:10])[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[O-:23])N(C)C=C1 10,11=10,20;20,21=21,22;22,23=23"
CC(C)(C)[C:62]1=[C:61]([O-:10])[C:72](C(C)(C)C)=[CH:73][CH:64]=[CH:63]1.[O+]#C[Co-3:32]12(C#[O+])(C#[O+])C3[C:31]1([CH+:20][C:51]1=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]1)[Co-3:42]32(C#[O+])(C#[O+])C#[O+]>>CC(C)(C)[C:62]1=[C:61]([O:10][CH:20]([C:31]23C4[Co-3:32]2(C#[O+])(C#[O+])(C#[O+])[Co-3:42]43(C#[O+])(C#[O+])C#[O+])[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[C:72](C(C)(C)C)=[CH:73][CH:64]=[CH:63]1 10=20
"O=C([O-])C1CC2=C(C=CC=C2)/[N+:23]1=[CH:22]/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1.[N-:10]1[C:61](=[O:62])[CH:71]=[CH:72][C:71]1=[O:72]>>O=C([O-])C1CC2=C(C=CC=C2)[N:23]1[CH:22]=[CH:21][CH:20]([N:10]1[C:61](=[O:62])[CH:71]=[CH:72][C:71]1=[O:72])[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10=20;20,21=21,22;22,23=23"
