SMILES Labelled,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"C[N:14](C)[C:13]1=[CH:12][CH:11]=[CH:10]C=C1.C1=CC=C(C=C1)[N+:21]#[N:20]>>C[N+](=C1C=CC(C=C1)N=Nc2ccccc2)C 10,11=10,20;12,13=11,12;14=13;20,21=21",Pi to pi*,,,c9ccccc9[CH+:10][O:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>c9ccccc9[CH:10]=[O+:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,,
"C1=CC=C(C=C1)[N:10]=[N:20][OH2+:21]>>c1ccc(cc1)[N+]#N.O 10=20;20,21=21",Lone to sigma*,,,"CO[C:20](=[CH:21]C(=O)OC)[O-:10]>>COC(=O)[CH-]C(=O)OC 10=20;20,21=21",,
"[H:20][O:21]S(=O)(=O)O.C1=CC=C(C=C1)N=N[OH:10]>>c1ccc(cc1)N=N[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,"CO[C:20](=[CH:21][CH:22]=[CH2:23])[O-:10]>>COC(=O)C=C[CH2-] 10=20;20,21=21,22;22,23=23",,
"[H:20][N+:21](=NO)C1=CC=CC=C1.OS(=O)(=O)[O-:10]>>c1ccc(cc1)N=NO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,"COC(=O)[CH-:10][C:20](=[O:21])OC>>COC(=CC(=O)OC)[O-] 10=20;20,21=21",,
"[H:20][O:21]S(=O)(=O)O.C1=CC=C(C=C1)[NH:12][N:11]=[O:10]>>c1ccc(cc1)[NH+]=NO.OS(=O)(=O)[O-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,"CO[C:22](=[O:23])[CH:21]=[CH:20][CH2-:10]>>COC(=CC=C)[O-] 10=20;20,21=21,22;22,23=23",,
"[H:20][NH+:21](C1=CC=CC=C1)N=O.OS(=O)(=O)[O-:10]>>c1ccc(cc1)NN=O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,"C[C-:10]1[CH:20]=[CH:21]C=CC1=O>>CC1=C[CH-]C=CC1=O 10=20;20,21=21",,
"C1=CC=C(C=C1)[NH2:10].[N:20]#[O+:21]>>c1ccc(cc1)[NH2+]N=O 10=20;20,21=21",Lone to pi*,,,"CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N[N:21]=[N:20][C-:10](C2=CC=CC=C2)C(=O)OC3C4=C(C=CC=C4)N(C3=O)CC5=CC=CC=C5.C1CCC2=[NH+]CCCN2CC1>>CC(=O)Nc1ccc(cc1)S(=O)(=O)N[N-]N=C(c2ccccc2)C(=O)OC3c4ccccc4N(C3=O)Cc5ccccc5.C1CCC2=[NH+]CCCN2CC1 10=20;20,21=21",,
"[N:20](=[O:10])[OH2+:21].c1cc(c(nc1)Cl)N.[Br-].CC(C)CC1=CC2CC(C1O2)(CN)O.C1CCC(CC1)C2=CC3CC(C2O3)(CN)O.CCCCCC1=CC2CC(C1O2)(CN)O.CCCC1=CC2CC(C1O2)(CN)O.CCC1=CC2CC(C1O2)(CN)O.CC1=CC2CC(C1O2)(CN)O.C1C2C=CC(C1(CN)O)O2.C1CCC(CC1)(CN)O.C1CCC(C(C1)CN)O.O.OS(=O)(=O)[O-].[Cl-].[B-](F)(F)(F)F.CC12CCC3c4ccc(c(c4CCC3C1CCC2=O)N)OC.CS(=O)(=O)c1ccc(cc1)c2ccc(cc2)N.[Na+].[O-]S(=O)(=O)[O-]>>N#[O+].O.c1cc(c(nc1)Cl)N.[Br-].CC(C)CC1=CC2CC(C1O2)(CN)O.C1CCC(CC1)C2=CC3CC(C2O3)(CN)O.CCCCCC1=CC2CC(C1O2)(CN)O.CCCC1=CC2CC(C1O2)(CN)O.CCC1=CC2CC(C1O2)(CN)O.CC1=CC2CC(C1O2)(CN)O.C1C2C=CC(C1(CN)O)O2.C1CCC(CC1)(CN)O.C1CCC(C(C1)CN)O.O.OS(=O)(=O)[O-].[Cl-].[B-](F)(F)(F)F.CC12CCC3c4ccc(c(c4CCC3C1CCC2=O)N)OC.CS(=O)(=O)c1ccc(cc1)c2ccc(cc2)N.[Na+].[O-]S(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,"C1=CC=C(C=C1)CN2C3=C(C=CC=C3)C(C2=O)OC(=O)[C:21](=[N+:20]=[N-:10])C4=CC=CC=C4.CC(=O)Nc1ccc(cc1)S(=O)(=O)[NH-].C1CCC2=[NH+]CCCN2CC1>>c1ccc(cc1)CN2c3ccccc3C(C2=O)OC(=O)[C-](c4ccccc4)[N+]#N.CC(=O)Nc1ccc(cc1)S(=O)(=O)[NH-].C1CCC2=[NH+]CCCN2CC1 10=20;20,21=21",,
"[H:20][O:21]S(=O)(=O)O.N(=O)[OH:10].C1C2C=CC(C1(CN)O)O2.O.[Na+].OS(=O)(=O)[O-]>>N(=O)[OH2+].OS(=O)(=O)[O-].C1C2C=CC(C1(CN)O)O2.O.[Na+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,"COC(=O)C1(CC(C(C1C2=CC=CC=C2)[N:21]=[N+:20]=[N-:10])C3=CC=CC=C3)C(=O)OC>>COC(=O)C1(CC(C(C1c2ccccc2)[N-][N+]#N)c3ccccc3)C(=O)OC 10=20;20,21=21",,
CC(C1=CC=CC=C1)[C+:20](C)C.[Cl-:10]>>CC(c1ccccc1)C(C)(C)Cl 10=20,Lone to empty,,,"C1=CNC(=N)[NH:10][C:20]1=[NH2+:21].[C-]#N.O>>C1=CNC(=N)[NH+]=C1N.[C-]#N.O 10=20;20,21=21",,
"CC1[C:11]([C:10]12C=CC=C[CH+:20]2)(C)C>>CC(c1ccccc1)[C+](C)C 10,11=10,20",Sigma to empty,,,"CC1=CC2=C(O1)CC([C:21](=[N+:20]=[N-:10])[C:22]2=[O:23])(C)C.c1ccc(cc1)CO.Cc1cc(nc(c1)C)C>>Cc1cc2c(o1)CC(C(=C2[O-])[N+]#N)(C)C.c1ccc(cc1)CO.Cc1cc(nc(c1)C)C 10=20;20,21=21,22;22,23=23",,
"[H:20][O:21]S(=O)(=O)O.CC(C(C)(C)C1=CC=CC=C1)[OH:10]>>CC(C(C)(C)c1ccccc1)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,"CC(C)(C)[Si](C)(C)OCC(C)(C1=CC=CC=C1)[C:22](=[O:23])[N:21]=[N+:20]=[N-:10].CC[NH+](CC)CC.c1ccc(cc1)OP(=O)([O-])Oc2ccccc2>>CC(C)(C)[Si](C)(C)OCC(C)(c1ccccc1)C(=N[N+]#N)[O-].CC[NH+](CC)CC.c1ccc(cc1)OP(=O)([O-])Oc2ccccc2 10=20;20,21=21,22;22,23=23",,
"[H:20][OH+:21]C1C2CCC(C2)O1.[Br-:10]>>C1CC2CC1C(O2)O.Br 10=20;20,21=21",Lone to sigma*,,,,,
C1CC2CC1[CH+:20]O2.[OH2:10]>>C1CC2CC1C(O2)[OH2+] 10=20,Lone to empty,,,,,
"C1[CH2:10][CH:11]2[CH:20](CC1O2)[Br:21]>>C1CC2CC1[CH+]O2.[Br-] 10,11=10,20;20,21=21",Sigma to sigma*,,,,,
"[H:20][O+:21]1CCOC1(C2=CC=CC=C2)C(C)Br.[Br-:10]>>CC(C1(OCCO1)c2ccccc2)Br.Br 10=20;20,21=21",Lone to sigma*,,,,,
"CC([C:20](=[O+:21]CC[OH:10])C1=CC=CC=C1)Br>>CC(C1([OH+]CCO1)c2ccccc2)Br 10=20;20,21=21",Lone to pi*,,,,,
"C[CH:10]=[C:11](C1=CC=CC=C1)[O:12]CCO.[Br:20][Br:21]>>CC(C(=[O+]CCO)c1ccccc1)Br.[Br-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21](C)[C+:22](C1=CC=CC=C1)OCCO.[Br-:10]>>CC=C(c1ccccc1)OCCO.Br 10=20;20,21=21,22",Lone to sigma*,,,,,
"CC[C:20]1([OH+:21]CCO1)C2=CC=CC=C2>>CC[C+](c1ccccc1)OCCO 20,21=21",Sigma to sigma*,,,,,
"CCC1(OCC[O:10]1)C2=CC=CC=C2.[H:20][Br:21]>>CCC1([OH+]CCO1)c2ccccc2.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"Cl[Ti-](Cl)(Cl)(Cl)OC1=CC(C/[C+:20]=[C:11](C)/[Si:10](C)(C)C)CCCC1>>Cl[Ti-](Cl)(Cl)(Cl)OC2=CC(C/[C:20]([Si:10](C)(C)C)=[C+:11]\C)CCCC2 10,11=10,20",Sigma to empty,dvv changed 11/3/2022,,,,
"[H:20][OH+:21]C1(CCCC1)OCC.[OH2:10]>>CCOC1(CCCC1)O.[OH3+] 10=20;20,21=21",Lone to sigma*,,,,,
CCO[C+:20]1CCCC1.[OH2:10]>>CCOC1(CCCC1)[OH2+] 10=20,Lone to empty,,,,,
"[H:20][O:21][C:22](=[O+:23]C(C)(C)C1=CC=CC=C1)C.CC(=[O:10])O>>CC(=[OH+])O.CC(=O)OC(C)(C)c1ccccc1 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
CC(=[O:10])O.C[C+:20](C)C1=CC=CC=C1>>CC(=[O+]C(C)(C)c1ccccc1)O 10=20,Lone to empty,,,,,
"[H:20][O+:21]=C(C(CC)O)O.[Cl-:10]>>CCC(C(=O)O)O.Cl 10=20;20,21=21",Lone to sigma*,,,,,
"CCC([C:20](O)([OH:10])[OH+:21]CC[NH3+])O>>CCC(C(=[OH+])O)O.C(CO)[NH3+] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][Cl:21].CCC(C(O)(O)[O:10]CC[NH3+])O>>CCC(C(O)(O)[OH+]CC[NH3+])O.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][OH+:21]C(C(CC)O)(O)OCC[NH3+].[Cl-:10]>>CCC(C(O)(O)OCC[NH3+])O.Cl 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][Cl:21].CCC(C([OH2+])(O)OCC[NH2:10])O>>CCC(C([OH2+])(O)OCC[NH3+])O.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
CCC([C+:20](O)OCCN)O.[OH2:10]>>CCC(C([OH2+])(O)OCCN)O 10=20,Lone to empty,,,,,
"CCC([C:20]1([NH2+:21]CCO1)O)O>>CCC([C+](O)OCCN)O 20,21=21",Sigma to sigma*,,,,,
"[H:20][Cl:21].CCC(C1([NH:10]CCO1)O)O>>CCC(C1([NH2+]CCO1)O)O.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][OH+:21]C1(NCCO1)C(CC)O.[Cl-:10]>>CCC(C1(NCCO1)O)O.Cl 10=20;20,21=21",Lone to sigma*,,,,,
"CCC([C:20]1=[NH+:21]CCO1)O.[OH2:10]>>CCC(C1(NCCO1)[OH2+])O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][Cl:21].CCC(C1=[N:10]CCO1)O>>CCC(C1=[NH+]CCO1)O.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21][C:22]1=[CH:23][C+:24](CCC1(C)C)OCC.CC[O-:10]>>CCO.CCOC1=CC(=O)C(CC1)(C)C 10=20;20,21=21,22;22,23=23,24",Lone to sigma*,,,,,
"CCO[C:20]1(CCC(C(=C1)O)(C)C)[OH2+:21]>>CCO[C+]1CCC(C(=C1)O)(C)C.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][O:21]CC.CCOC1(CCC(C(=C1)O)(C)C)[OH:10]>>CC[O-].CCOC1(CCC(C(=C1)O)(C)C)[OH2+] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CC)C1(CCC(C(=C1)O)(C)C)O.CC[O-:10]>>CCO.CCOC1(CCC(C(=C1)O)(C)C)O 10=20;20,21=21",Lone to sigma*,,,,,
CC[OH:10].CC1(CC[C+:20](C=C1O)O)C>>CC[OH+]C1(CCC(C(=C1)O)(C)C)O 10=20,Lone to empty,,,,,
"[H:20][O:21]CC.CC1(CCC(=[O:10])C=C1O)C>>CC[O-].CC1(CCC(=[OH+])C=C1O)C 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][CH:21]1C(=O)CCC([C:22]1=[OH+:23])(C)C.CC[O-:10]>>CCO.CC1(CCC(=O)C=C1O)C 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"[H:20][OH+:21]CC.CC1(CCC(=O)CC1=[O:10])C>>[H:20][O+:10]=C1CC(=O)CCC1(C)C.CC[OH:21] 10=20;20,21=21",Lone to sigma*,replaced 10/18/22,,,,
"[H:20][O+:21]=C(CC)C(C)CN(C)C.C[NH:10]C>>CCC(=O)C(C)CN(C)C.C[NH2+]C 10=20;20,21=21",Lone to sigma*,,,,,
"CC[C:11](=[CH:10]C)[OH:12].C[N+:21](=[CH2:20])C>>CCC(=[OH+])C(C)CN(C)C 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][CH:21](C)[C:22](=[OH+:23])CC.C[NH:10]C>>CCC(=CC)O.C[NH2+]C 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"[H:20][NH+:21](C)C.CCC(=[O:10])CC>>CCC(=[OH+])CC.CNC 10=20;20,21=21",Lone to sigma*,,,,,
"C[N:10](C)[CH2:20][OH2+:21]>>C[N+](=C)C.O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][NH+:21](C)C.CN(C)C[OH:10]>>CNC.CN(C)C[OH2+] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][N+:21](C)(C)CO.C[NH:10]C>>C[NH2+]C.CN(C)CO 10=20;20,21=21",Lone to sigma*,,,,,
"C[NH:10]C.[CH2:20]=[OH+:21]>>C[NH+](C)CO 10=20;20,21=21",Lone to pi*,,,,,
"CC1=N[C:10](=[C:11](O1)[O-:12])[CH:20](C2=CC=CC=C2)[OH:21]>>CC1=NC(=Cc2ccccc2)C(=O)O1.[OH-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][C:21]1([C:22](=[O:23])OC(=N1)C)C(C2=CC=CC=C2)O.CC(=O)[O-:10]>>Cc1nc(c(o1)[O-])C(c2ccccc2)O.CC(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"[H:20][O:21]C(=O)C.CC1=NC(C(=O)O1)C(C2=CC=CC=C2)[O-:10]>>CC1=NC(C(=O)O1)C(c2ccccc2)O.CC(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC1=N[CH:10]=[C:11](O1)[O-:12].C1=CC=C(C=C1)[CH:20]=[O:21]>>CC1=NC(C(=O)O1)C(c2ccccc2)[O-] 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][CH:21]1[C:22](=[O:23])OC(=N1)C.CC(=O)[O-:10]>>Cc1ncc(o1)[O-].CC(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"[H:20][N+:21]1=C(OC(=O)C1)C.CC(=O)[O-:10]>>CC1=NCC(=O)O1.CC(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CC1=[NH+]C[C:20](O1)([O-:10])[O:21]C(=O)C>>CC1=[NH+]CC(=O)O1.CC(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:11](=[O:10])[NH:12]C[C:20](=[O:21])OC(=O)C>>CC1=[NH+]CC(O1)([O-])OC(=O)C 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"CC(=O)NCC(=O)O[C:20](C)([O-:10])[O:21]C(=O)C>>CC(=O)NCC(=O)OC(=O)C.CC(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC(=O)NCC(=O)[O-:10].CC(=O)O[C:20](=[O:21])C>>CC(=O)NCC(=O)OC(C)([O-])OC(=O)C 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O:21]C(=O)CNC(=O)C.CC(=O)[O-:10]>>CC(=O)NCC(=O)[O-].CC(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](C)C(C)(C)C.OS(=O)(=O)[O-:10]>>CC(C)(C)OC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
C[C+:20](C)C.C[OH:10]>>CC(C)(C)[OH+]C 10=20,Lone to empty,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:11](=[CH2:10])C>>C[C+](C)C.OS(=O)(=O)[O-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
"[H:20][O+:21]1CCOC12CCCCC2.OS(=O)(=O)[O-:10]>>C1CCC2(CC1)OCCO2.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
C1CC[C+:20](CC1)OCC[OH:10]>>C1CCC2(CC1)[OH+]CCO2 10=20,Lone to empty,,,,,
"C1CC[C:20](CC1)([OH2+:21])OCCO>>C1CC[C+](CC1)OCCO.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1CCC(CC1)([OH:10])OCCO>>C1CCC(CC1)([OH2+])OCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CCO)C1(CCCCC1)O.OS(=O)(=O)[O-:10]>>C1CCC(CC1)(O)OCCO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
C(CO)[OH:10].C1CC[C+:20](CC1)O>>C1CCC(CC1)(O)[OH+]CCO 10=20,Lone to empty,,,,,
"[H:20][O:21]S(=O)(=O)O.C1CCC(=[O:10])CC1>>C1CCC(=[OH+])CC1.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][CH:21]1[C:22](=[O:23])CCC2(C1(CCCC2=O)O)C.CC[O-:10]>>CCO.CC12CCC(=CC1(CCCC2=O)O)[O-] 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"CC12CC[C:11](=[CH:10][C:20]1(CCCC2=O)[OH:21])[O-:12].O>>CC12CCC(=O)C=C1CCCC2=O.[OH-].O 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21]1CC[CH+:22]1.OS(=O)(=O)[O-:10]>>C1CC=C1.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"C1[CH2:10][CH:11]1[CH2:20][N+:21]#N>>C1C[CH+]C1.N#N 10,11=10,20;20,21=21",Sigma to sigma*,,,,,
"C1CC1C[N:10]=[N:20][OH2+:21]>>C1CC1C[N+]#N.O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1CC1CN=N[OH:10]>>C1CC1CN=N[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][N+:21](=NO)CC1CC1.OS(=O)(=O)[O-:10]>>C1CC1CN=NO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1CC1C[NH+]=N[O-:10]>>C1CC1C[NH+]=NO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][NH+:21](CC1CC1)[N:22]=[O:23].OS(=O)(=O)[O-:10]>>C1CC1C[NH+]=N[O-].OS(=O)(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"C1CC1C[NH2:10].[N:20]#[O+:21]>>C1CC1C[NH2+]N=O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][C:21]1(C=CC2=C([CH+:22]1)CCO2)C(=[O+][Al-](Cl)(Cl)Cl)C.[Al-]([Cl:10])(Cl)(Cl)Cl>>[H:20][Cl+:10][Al-](Cl)(Cl)Cl.CC(=[O+][Al-](Cl)(Cl)Cl)[C:21]1=[CH:22]C2=C(C=C1)OCC2 10=20;20,21=21,22",Lone to sigma*,,,,,
"[H:20][O+:21]=C(C(C)Br)OC.[Br-:10]>>CC(C(=O)OC)Br.Br 10=20;20,21=21",Lone to sigma*,,,,,
"CC([C:20]([OH:10])(OC)[Br:21])Br>>CC(C(=[OH+])OC)Br.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](C)C(C(C)Br)(O)Br.[Br-:10]>>CC(C(O)(OC)Br)Br.Br 10=20;20,21=21",Lone to sigma*,,,,,
"CC([C:20](=[OH+:21])Br)Br.C[OH:10]>>CC(C(O)([OH+]C)Br)Br 10=20;20,21=21",Lone to pi*,,,,,
"C[CH:10]=[C:11]([OH:12])Br.[Br:20][Br:21]>>CC(C(=[OH+])Br)Br.[Br-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21](C)[C:22](=[OH+:23])Br.[Br-:10]>>CC=C(O)Br.Br 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"[H:20][Br:21].CCC(=[O:10])Br>>CCC(=[OH+])Br.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CC[C:20](C(C1)Cl)([NH+:21]2CCCC2)[OH:10]>>C1CCC(=[OH+])C(C1)Cl.C1CCNC1 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][Cl:21].C1CCC(C(C1)Cl)([N:10]2CCCC2)O>>C1CCC(C(C1)Cl)([NH+]2CCCC2)O.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][OH+:21]C1(CCCCC1Cl)N2CCCC2.[Cl-:10]>>C1CCC(C(C1)Cl)(N2CCCC2)O.Cl 10=20;20,21=21",Lone to sigma*,,,,,
C1CC[C+:20](C(C1)Cl)N2CCCC2.[OH2:10]>>C1CCC(C(C1)Cl)(N2CCCC2)[OH2+] 10=20,Lone to empty,,,,,
"C1CC[C:11](=[CH:10]C1)N2CCCC2.[Cl:20][Cl:21]>>C1CC[C+](C(C1)Cl)N2CCCC2.[Cl-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
"[H:20][I:21].CC(=[O:10])OC>>CC(=[OH+])OC.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][C:21]1(C=CC=C[CH+:22]1)C2(CCCCC2)N3CCCCC3.OS(=O)(=O)[O-:10]>>c1ccc(cc1)C2(CCCCC2)N3CCCCC3.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"C1CC[C:20](CC1)([N:10]2CCCCC2)[OH2+:21]>>C1CCC(=[N+]2CCCCC2)CC1.O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1CCC(CC1)(N2CCCCC2)[OH:10]>>C1CCC(CC1)(N2CCCCC2)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][C:21]12[CH+:22]C=CC=C1CCN=C2C.[O-:10]P(=O)(Cl)Cl>>CC1=NCCc2c1cccc2.OP(=O)(Cl)Cl 10=20;20,21=21,22",Lone to sigma*,,,,,
"C[C:20](=[N:10]CCC1=CC=CC=C1)[O:21]P(=O)(Cl)Cl>>CC#[N+]CCc1ccccc1.[O-]P(=O)(Cl)Cl 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][N+:21](=C(C)OP(=O)(Cl)Cl)CCC1=CC=CC=C1.[Cl-:10]>>CC(=NCCc1ccccc1)OP(=O)(Cl)Cl.Cl 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C1C=COC1C.OS(=O)(=O)[O-:10]>>CC1C(=O)C=CO1.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:10]1=[C:11](C=CO1)[OH:12]>>CC1C(=[OH+])C=CO1.OS(=O)(=O)[O-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21]1[CH:22]=[C:23]([C+:24](O1)C)O.OS(=O)(=O)[O-:10]>>Cc1c(cco1)O.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23,24",Lone to sigma*,,,,,
"C[C:20]1(C(=CCO1)O)[OH+:21]C>>C[C+]1C(=CCO1)O.CO 20,21=21",Sigma to sigma*,,,,,
